customer_unique_id,total_orders,last_purchase,avg_days_between_orders,avg_delivery_delay,is_multi,churn
004288347e5e88a27ded2bb23747066c,2,2018-01-14 07:36:54,170.72489583333333,-20.073449074074073,1,1
00cc12a6d8b578b8ebd21ea4e2ae8b27,2,2017-03-21 19:25:23,1.1574074074074073e-05,-9.379039351851851,1,1
011575986092c30523ecb71ff10cb473,2,2018-04-18 21:58:08,60.252303240740744,-14.283541666666666,1,0
011b4adcd54683b480c4d841250a987f,2,2018-02-15 11:40:57,176.9510185185185,-13.192361111111111,1,1
012452d40dafae4df401bced74cdb490,2,2018-05-14 12:12:45,329.5597569444444,-5.516678240740741,1,0
013f4353d26bb05dc6652f1269458d8d,2,2017-11-28 13:30:58,3.9983564814814816,-20.396539351851853,0,1
015557c9912277312b9073947804a7ba,2,2017-05-01 14:48:33,38.66859953703704,-14.226342592592593,1,1
01886ef98f995e4f2dd75a1d04c97397,2,2018-03-09 19:19:24,101.93854166666667,-29.127164351851853,0,0
01a22e2079ea71e17313b88e5811e54a,2,2018-01-22 23:27:48,0.029155092592592594,-11.009097222222222,0,1
01c289bb06354cdc7e6549570f20ada4,2,2017-12-26 21:14:43,206.0857523148148,-21.062962962962963,0,1
01f2285f85a1c603eb7ef755ad311769,2,2018-05-31 14:51:03,397.00741898148146,-36.07962962962963,0,0
02168ea18740a0fdaaa15f11bebba5db,2,2017-10-09 22:05:59,50.04700231481481,-18.22054398148148,0,1
027803eb28cc01fbdf5da72b109fabee,2,2017-10-17 11:28:18,0.00015046296296296295,-12.320844907407407,1,1
029b457bd01199c39136f89e0eddcd3a,2,2018-01-04 19:21:49,235.78582175925925,-6.275949074074074,1,1
02b20b7c813efede140142ac610e36dc,2,2018-03-19 20:50:39,0.0,-15.257534722222223,0,0
02e4c56fefa30628768ffe326d332e2f,2,2018-01-11 12:07:15,287.70663194444444,-10.973206018518518,1,1
02e9109b7e0a985108b43e573b6afb23,3,2018-05-14 11:04:55,85.89088541666666,-14.809924768518519,1,0
02e9827c15167f699df7bf90d326ffdb,2,2018-04-07 18:22:27,34.1946412037037,-1.215486111111111,0,0
02fbe4db886eb98774c8ba300d39fa79,2,2018-02-17 12:23:22,1.1574074074074073e-05,-16.505219907407408,0,1
031ea691b99fc101dcad357d1a83573f,2,2017-07-10 22:28:33,55.365069444444444,-1.4346990740740742,1,1
0333b2fc6ba7014702e08ef613850270,2,2017-11-06 04:41:37,73.30190972222222,-0.14678240740740742,0,1
0341bbd5c969923a0f801b9e2d10a7b8,2,2018-05-30 13:00:03,1.9455671296296295,-37.13305555555556,1,0
038301b43811478e1a8dc0e476eaf52e,2,2018-04-12 20:58:52,150.46496527777776,-13.327106481481481,1,0
